Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
,,,,,,,,,Abronia bigelovii,,,,,
,,,,,,,,,Agalinis calycina,,,,,
,,,,,,,,,Agastache cana,,,,,
,,,,,,,,,Agastache pringlei var. verticillata,,,,,
,,,,,,,,,Aliciella cliffordii,,,,,
,,,,,,,,,Aliciella formosa,,,,,
,,,,,,,,,Allium gooddingii,,,,,
,,,,,,,,,Amsonia fugatei,,,,,
,,,,,,,,,Amsonia tharpii,,,,,
,,,,,,,,,Anticlea mogollonensis,,,,,
,,,,,,,,,Anulocaulis leiosolenus var. gypsogenus,,,,,
,,,,,,,,,Anulocaulis leiosolenus var. howardii,,,,,
,,,,,,,,,Aquilegia chaplinei,,,,,
,,,,,,,,,Argemone pinnatisecta,,,,,
,,,,,,,,,Asclepias sanjuanensis,,,,,
,,,,,,,,,Astragalus accumbens,,,,,
,,,,,,,,,Astragalus altus,,,,,
,,,,,,,,,Astragalus castetteri,,,,,
,,,,,,,,,Astragalus chuskanus,,,,,
,,,,,,,,,Astragalus cliffordii,,,,,
,,,,,,,,,Astragalus cobrensis var. maguirei,,,,,
,,,,,,,,,Astragalus cottamii,,,,,
,,,,,,,,,Astragalus cyaneus,,,,,
,,,,,,,,,Astragalus feensis,,,,,
,,,,,,,,,Astragalus gypsodes,,,,,
,,,,,,,,,Astragalus heilii,,,,,
,,,,,,,,,Astragalus humillimus,,,,,
,,,,,,,,,Astragalus humistratus var. crispulus,,,,,
,,,,,,,,,Astragalus kerrii,,,,,
,,,,,,,,,Astragalus knightii,,,,,
,,,,,,,,,Astragalus micromerius,,,,,
,,,,,,,,,Astragalus missouriensis var. humistratus,,,,,
,,,,,,,,,Astragalus naturitensis,,,,,
,,,,,,,,,Astragalus neomexicanus,,,,,
,,,,,,,,,Astragalus nutriosensis,,,,,
,,,,,,,,,Astragalus oocalycis,,,,,
,,,,,,,,,Astragalus puniceus var. gertrudis,,,,,
,,,,,,,,,Astragalus ripleyi,,,,,
,,,,,,,,,Astragalus siliceus,,,,,
,,,,,,,,,Astragalus wittmannii,,,,,
,,,,,,,,,Atriplex griffithsii,,,,,
,,,,,,,,,Boechera zephyra,,,,,
,,,,,,,,,Calochortus gunnisonii var. perpulcher,,,,,
,,,,,,,,,Castilleja organorum,,,,,
,,,,,,,,,Castilleja ornata,,,,,
,,,,,,,,,Castilleja tomentosa,,,,,
,,,,,,,,,Chaetopappa hersheyi,,,,,
,,,,,,,,,Cirsium gilense,,,,,
,,,,,,,,,Cirsium inornatum,,,,,
,,,,,,,,,Cirsium vinaceum,,,,,
,,,,,,,,,Cirsium wrightii,,,,,
,,,,,,,,,Coryphantha robustispina ssp. scheeri,,,,,
,,,,,,,,,Crataegus wootoniana,,,,,
,,,,,,,,,Cuscuta warneri,,,,,
,,,,,,,,,Cylindropuntia viridiflora,,,,,
,,,,,,,,,Cymopterus davidsonii,,,,,
,,,,,,,,,Cymopterus spellenbergii,,,,,
,,,,,,,,,Delphinium alpestre,,,,,
,,,,,,,,,Delphinium novomexicanum,,,,,
,,,,,,,,,Delphinium robustum,,,,,
,,,,,,,,,Dermatophyllum guadalupense,,,,,
,,,,,,,,,Desmodium metcalfei,,,,,
,,,,,,,,,Draba heilii,,,,,
,,,,,,,,,Draba henrici,,,,,
,,,,,,,,,Draba mogollonica,,,,,
,,,,,,,,,Draba smithii,,,,,
,,,,,,,,,Draba standleyi,,,,,
,,,,,,,,,Echinocereus fendleri var. kuenzleri,,,,,
,,,,,,,,,Ericameria nauseosa var. texensis,,,,,
,,,,,,,,,Erigeron acomanus,,,,,
,,,,,,,,,Erigeron hessii,,,,,
,,,,,,,,,Erigeron rhizomatus,,,,,
,,,,,,,,,Erigeron rybius,,,,,
,,,,,,,,,Erigeron scopulinus,,,,,
,,,,,,,,,Erigeron sivinskii,,,,,
,,,,,,,,,Erigeron subglaber,,,,,
,,,,,,,,,Eriogonum aliquantum,,,,,
,,,,,,,,,Eriogonum gypsophilum,,,,,
,,,,,,,,,Eriogonum lachnogynum var. colobum,,,,,
,,,,,,,,,Eriogonum lachnogynum var. sarahiae,,,,,
,,,,,,,,,Eriogonum wootonii,,,,,
,,,,,,,,,Eryngium sparganophyllum,,,,,
,,,,,,,,,Escobaria duncanii,,,,,
,,,,,,,,,Escobaria guadalupensis,,,,,
,,,,,,,,,Escobaria orcuttii,,,,,
,,,,,,,,,Escobaria organensis,,,,,
,,,,,,,,,Escobaria sandbergii,,,,,
,,,,,,,,,Escobaria sneedii var. leei,,,,,
,,,,,,,,,Escobaria sneedii var. sneedii,,,,,
,,,,,,,,,Escobaria villardii,,,,,
,,,,,,,,,Euphorbia rayturneri,,,,,
,,,,,,,,,Fissidens littlei,,,,,
,,,,,,,,,Geranium dodecatheoides,,,,,
,,,,,,,,,Grindelia arizonica var. neomexicana,,,,,
,,,,,,,,,Hackelia hirsuta,,,,,
,,,,,,,,,Hedeoma apiculata,,,,,
,,,,,,,,,Hedeoma pulcherrima,,,,,
,,,,,,,,,Hedeoma todsenii,,,,,
,,,,,,,,,Helianthus arizonensis,,,,,
,,,,,,,,,Helianthus paradoxus,,,,,
,,,,,,,,,Helianthus praetermissus,,,,,
,,,,,,,,,Heuchera pulchella,,,,,
,,,,,,,,,Heuchera woodsiaphila,,,,,
,,,,,,,,,Heuchera wootonii,,,,,
,,,,,,,,,Hexalectris arizonica,,,,,
,,,,,,,,,Hexalectris colemanii,,,,,
,,,,,,,,,Hexalectris nitida,,,,,
,,,,,,,,,Hexalectris revoluta,,,,,
,,,,,,,,,Hieracium brevipilum,,,,,
,,,,,,,,,Hymenoxys ambigens var. neomexicana,,,,,
,,,,,,,,,Hymenoxys brachyactis,,,,,
,,,,,,,,,Hymenoxys vaseyi,,,,,
,,,,,,,,,Ionactis elegans,,,,,
,,,,,,,,,Ipomopsis sancti-spiritus,,,,,
,,,,,,,,,Justicia wrightii,,,,,
,,,,,,,,,Lepidospartum burgessii,,,,,
,,,,,,,,,Leucosyris blepharophylla,,,,,
,,,,,,,,,Limosella pubiflora,,,,,
,,,,,,,,,Linum allredii,,,,,
,,,,,,,,,Lorandersonia microcephala,,,,,
,,,,,,,,,Lupinus sierrae-blancae,,,,,
,,,,,,,,,Mentzelia conspicua,,,,,
,,,,,,,,,Mentzelia filifolia,,,,,
,,,,,,,,,Mentzelia humilis var. guadalupensis,,,,,
,,,,,,,,,Mentzelia springeri,,,,,
,,,,,,,,,Mentzelia todiltoensis,,,,,
,,,,,,,,,Microthelys rubrocallosa,,,,,
,,,,,,,,,Muhlenbergia villiflora var. villosa,,,,,
,,,,,,,,,Nama xylopodum,,,,,
,,,,,,,,,Nerisyrenia hypercorax,,,,,
,,,,,,,,,Oenothera organensis,,,,,
,,,,,,,,,Opuntia arenaria,,,,,
,,,,,,,,,Packera cardamine,,,,,
,,,,,,,,,Packera spellenbergii,,,,,
,,,,,,,,,Panicum mohavense,,,,,
,,,,,,,,,Paronychia wilkinsonii,,,,,
,,,,,,,,,Pediocactus knowltonii,,,,,
,,,,,,,,,Pediomelum pentaphyllum,,,,,
,,,,,,,,,Peniocereus greggii,,,,,
,,,,,,,,,Penstemon alamosensis,,,,,
,,,,,,,,,Penstemon bleaklyi,,,,,
,,,,,,,,,Penstemon cardinalis ssp. cardinalis,,,,,
,,,,,,,,,Penstemon cardinalis ssp. regalis,,,,,
,,,,,,,,,Penstemon linarioides ssp. maguirei,,,,,
,,,,,,,,,Penstemon metcalfei,,,,,
,,,,,,,,,Penstemon neomexicanus,,,,,
,,,,,,,,,Penstemon pseudoparvus,,,,,
,,,,,,,,,Peritoma multicaulis,,,,,
,,,,,,,,,Perityle cernua,,,,,
,,,,,,,,,Perityle quinqueflora,,,,,
,,,,,,,,,Perityle staurophylla var. homoflora,,,,,
,,,,,,,,,Perityle staurophylla var. staurophylla,,,,,
,,,,,,,,,Phacelia cloudcroftensis,,,,,
,,,,,,,,,Phacelia serrata,,,,,
,,,,,,,,,Phacelia sivinskii,,,,,
,,,,,,,,,Phemeranthus brachypodius,,,,,
,,,,,,,,,Phemeranthus humilis,,,,,
,,,,,,,,,Philadelphus microphyllus var. argyrocalyx,,,,,
,,,,,,,,,Phlox caryophylla,,,,,
,,,,,,,,,Phlox cluteana,,,,,
,,,,,,,,,Phlox vermejoensis,,,,,
,,,,,,,,,Physaria aurea,,,,,
,,,,,,,,,Physaria gooddingii,,,,,
,,,,,,,,,Physaria lata,,,,,
,,,,,,,,,Physaria navajoensis,,,,,
,,,,,,,,,Physaria newberryi var. yesicola,,,,,
,,,,,,,,,Physaria pruinosa,,,,,
,,,,,,,,,Polygala rimulicola var. mescalerorum,,,,,
,,,,,,,,,Polygala rimulicola var. rimulicola,,,,,
,,,,,,,,,Potentilla sierrae-blancae,,,,,
,,,,,,,,,Proatriplex pleiantha,,,,,
,,,,,,,,,Puccinellia parishii,,,,,
,,,,,,,,,Ribes mescalerium,,,,,
,,,,,,,,,Rubus aliceae,,,,,
,,,,,,,,,Rumex tomentellus,,,,,
,,,,,,,,,Salix arizonica,,,,,
,,,,,,,,,Salvia summa,,,,,
,,,,,,,,,Sclerocactus mesae-verdae,,,,,
,,,,,,,,,Scrophularia laevis,,,,,
,,,,,,,,,Scrophularia macrantha,,,,,
,,,,,,,,,Sedum integrifolium ssp. neomexicanum,,,,,
,,,,,,,,,Senecio cliffordii,,,,,
,,,,,,,,,Senecio sacramentanus,,,,,
,,,,,,,,,Senecio warnockii,,,,,
,,,,,,,,,Silene plankii,,,,,
,,,,,,,,,Silene thurberi,,,,,
,,,,,,,,,Silene wrightii,,,,,
,,,,,,,,,Solidago capulinensis,,,,,
,,,,,,,,,Solidago correllii,,,,,
,,,,,,,,,Spermolepis organensis,,,,,
,,,,,,,,,Sphaeralcea procera,,,,,
,,,,,,,,,Sphaeralcea wrightii,,,,,
,,,,,,,,,Stellaria porsildii,,,,,
,,,,,,,,,Streptanthus sparsiflorus,,,,,
,,,,,,,,,Synthyris oblongifolia,,,,,
,,,,,,,,,Townsendia gypsophila,,,,,
,,,,,,,,,Trifolium longipes var. neurophyllum,,,,,
,,,,,,,,,Valeriana texana,,,,,
,,,,,,,,,Viola calcicola,,,,,
